symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,ticker,market_cap_usd,nasdaq_sector,nasdaq_industry,company_name,cik,gics_company_name,gics_sector,gics_industry,classification_source,included_by,snapshot_date,universe_source,universe_source_url,calls_in_gold_corpus,first_event_date,last_event_date,snapshot_log_market_cap,snapshot_market_cap_percentile
INTC,Intel Corporation Common Stock,$63.81,-1.37,-2.102%,112445127,319900291030.00,United States,,Semiconductors,Information Technology,/market-activity/stocks/intc,INTC,319900291030.0,Technology,Semiconductors,Intel,50863,Intel,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,75,2006-01-18,2025-04-24,26.491275193654516,0.7971014492753623
AMAT,Applied Materials Inc. Common Stock,$395.64,-0.09,-0.023%,5339729,313983807780.00,United States,1972,Semiconductor Materials & Equipment,Information Technology,/market-activity/stocks/amat,AMAT,313983807780.0,Technology,Semiconductors,Applied Materials,6951,Applied Materials,Information Technology,Semiconductor Materials & Equipment,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,61,2006-02-17,2025-05-15,26.472607253945394,0.782608695652174
KLAC,KLA Corporation Common Stock,$1795.91,27.13,1.534%,869073,235401796461.00,United States,1980,Semiconductor Materials & Equipment,Information Technology,/market-activity/stocks/klac,KLAC,235401796461.0,Technology,Electronic Components,KLA Corporation,319201,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,62,2008-10-30,2025-04-30,26.18455966326853,0.7681159420289855
IBM,International Business Machines Corporation Common Stock,$240.27,2.45,1.03%,3772385,225381526249.00,United States,,IT Consulting & Other Services,Information Technology,/market-activity/stocks/ibm,IBM,225381526249.0,Technology,Computer Manufacturing,IBM,51143,IBM,Information Technology,IT Consulting & Other Services,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,75,2006-01-18,2025-04-23,26.1410604753396,0.7536231884057971
TXN,Texas Instruments Incorporated Common Stock,$218.87,2.16,0.997%,5482004,199273119324.00,United States,,Semiconductors,Information Technology,/market-activity/stocks/txn,TXN,199273119324.0,Technology,Semiconductors,Texas Instruments,97476,Texas Instruments,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,23,2007-01-22,2025-04-23,26.017942179624594,0.7391304347826086
ANET,Arista Networks Inc. Common Stock,$154.37,2.35,1.546%,7110464,193971756549.00,United States,,Communications Equipment,Information Technology,/market-activity/stocks/anet,ANET,193971756549.0,Telecommunications,Computer Communications Equipment,Arista Networks,1596532,Arista Networks,Information Technology,Communications Equipment,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,43,2014-08-07,2025-05-06,25.990978400612274,0.7246376811594203
APH,Amphenol Corporation Common Stock,$148.72,3.45,2.375%,8363349,182840935042.00,United States,,Electronic Components,Information Technology,/market-activity/stocks/aph,APH,182840935042.0,Technology,Electrical Products,Amphenol,820313,Amphenol,Information Technology,Electronic Components,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,67,2007-10-18,2025-04-23,25.931882404387252,0.7101449275362319
ADI,Analog Devices Inc. Common Stock,$348.60,-1.41,-0.403%,2311340,170187969130.00,United States,,Semiconductors,Information Technology,/market-activity/stocks/adi,ADI,170187969130.0,Technology,Semiconductors,Analog Devices,6281,Analog Devices,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,59,2006-04-27,2025-02-19,25.860169363924516,0.6956521739130435
CRM,Salesforce Inc. Common Stock,$171.31,-1.51,-0.874%,13095022,158119130000.00,United States,2004,Application Software,Information Technology,/market-activity/stocks/crm,CRM,158119130000.0,Technology,Computer Software: Prepackaged Software,Salesforce,1108524,Salesforce,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,40,2007-05-16,2024-12-03,25.786614573209494,0.6811594202898551
GLW,Corning Incorporated Common Stock,$172.82,-2.35,-1.342%,9206180,148270592197.00,United States,,Electronic Components,Information Technology,/market-activity/stocks/glw,GLW,148270592197.0,Industrials,Telecommunications Equipment,Corning Inc.,24741,Corning Inc.,Information Technology,Electronic Components,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,59,2005-10-31,2025-04-29,25.722304767013018,0.6666666666666666
QCOM,QUALCOMM Incorporated Common Stock,$132.84,1.60,1.219%,7575736,141740280000.00,United States,1991,Semiconductors,Information Technology,/market-activity/stocks/qcom,QCOM,141740280000.0,Technology,Radio And Television Broadcasting And Communications Equipment,Qualcomm,804328,Qualcomm,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,76,2006-01-27,2025-04-30,25.677262205774575,0.6521739130434783
PANW,Palo Alto Networks Inc. Common Stock,$161.59,-0.92,-0.566%,7404292,131857440000.00,United States,,Systems Software,Information Technology,/market-activity/stocks/panw,PANW,131857440000.0,Technology,Computer peripheral equipment,Palo Alto Networks,1327567,Palo Alto Networks,Information Technology,Systems Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,32,2013-11-25,2025-02-13,25.604987175912537,0.6376811594202898
ACN,Accenture plc Class A Ordinary Shares (Ireland),$190.37,-1.58,-0.823%,4627988,126623090155.00,Ireland,2001,IT Consulting & Other Services,Information Technology,/market-activity/stocks/acn,ACN,126623090155.0,Real Estate,Real Estate,Accenture,1467373,Accenture,Information Technology,IT Consulting & Other Services,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,42,2006-12-20,2024-09-26,25.56448071671642,0.6231884057971014
WDC,Western Digital Corporation Common Stock,$366.22,16.06,4.586%,7289593,124162467795.00,United States,,"Technology Hardware, Storage & Peripherals",Information Technology,/market-activity/stocks/wdc,WDC,124162467795.0,Technology,Electronic Components,Western Digital,106040,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,45,2008-10-23,2025-04-30,25.54485676911002,0.6086956521739131
DELL,Dell Technologies Inc. Class C Common Stock ,$184.51,-5.28,-2.782%,6248764,119147046694.00,United States,2018,"Technology Hardware, Storage & Peripherals",Information Technology,/market-activity/stocks/dell,DELL,119147046694.0,Technology,Computer Manufacturing,Dell Technologies,1571996,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,76,2006-01-26,2025-02-28,25.503624253729924,0.5942028985507246
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$533.44,20.16,3.928%,3565005,116328896860.00,Ireland,2002,"Technology Hardware, Storage & Peripherals",Information Technology,/market-activity/stocks/stx,STX,116328896860.0,Technology,Electronic Components,Seagate Technology,1137789,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,45,2011-10-20,2025-04-29,25.479687333879614,0.5797101449275363
INTU,Intuit Inc. Common Stock,$366.80,-2.64,-0.715%,2481744,101438540000.00,United States,1993,Application Software,Information Technology,/market-activity/stocks/intu,INTU,101438540000.0,Technology,Computer Software: Prepackaged Software,Intuit,896878,Intuit,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,45,2006-02-20,2025-02-25,25.34271893478727,0.5652173913043478
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$398.49,-3.75,-0.932%,3172913,101062678724.00,United States,2019,Systems Software,Information Technology,/market-activity/stocks/crwd,CRWD,101062678724.0,Technology,Computer Software: Prepackaged Software,CrowdStrike,1535527,CrowdStrike,Information Technology,Systems Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,22,2019-07-18,2025-03-04,25.33900674273239,0.5507246376811594
ADBE,Adobe Inc. Common Stock,$235.72,-4.39,-1.828%,6294356,95278024000.00,United States,1986,Application Software,Information Technology,/market-activity/stocks/adbe,ADBE,95278024000.0,Technology,Computer Software: Prepackaged Software,Adobe Inc.,796343,Adobe Inc.,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,46,2005-12-20,2023-03-15,25.280065022903507,0.5362318840579711
NOW,ServiceNow Inc. Common Stock,$87.79,-1.27,-1.426%,25058159,90964097666.00,United States,2012,Systems Software,Information Technology,/market-activity/stocks/now,NOW,90964097666.0,Technology,Computer Software: Prepackaged Software,ServiceNow,1373715,ServiceNow,Information Technology,Systems Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,41,2014-04-24,2025-04-23,25.233730734472516,0.5217391304347826
CDNS,Cadence Design Systems Inc. Common Stock,$292.37,4.17,1.447%,2181799,80721037921.00,United States,,Application Software,Information Technology,/market-activity/stocks/cdns,CDNS,80721037921.0,Technology,Computer Software: Prepackaged Software,Cadence Design Systems,813672,Cadence Design Systems,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,38,2014-04-21,2025-04-28,25.114265071197007,0.5072463768115942
SNPS,Synopsys Inc. Common Stock,$418.80,1.03,0.247%,1254819,80226176908.00,United States,1992,Application Software,Information Technology,/market-activity/stocks/snps,SNPS,80226176908.0,Technology,Computer Software: Prepackaged Software,Synopsys,883241,Synopsys,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,34,2014-02-19,2024-12-04,25.108115693925097,0.4927536231884058
MSI,Motorola Solutions Inc. Common Stock,$440.08,0.17,0.039%,749921,73142885129.00,United States,,Communications Equipment,Information Technology,/market-activity/stocks/msi,MSI,73142885129.0,Technology,Radio And Television Broadcasting And Communications Equipment,Motorola Solutions,68505,Motorola Solutions,Information Technology,Communications Equipment,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,57,2011-04-28,2025-05-01,25.01568069555358,0.4782608695652174
TEL,TE Connectivity plc Ordinary Shares,$236.88,2.55,1.088%,1716685,69508710588.00,Ireland,,Electronic Manufacturing Services,Information Technology,/market-activity/stocks/tel,TEL,69508710588.0,Technology,Electronic Components,TE Connectivity,1385157,TE Connectivity,Information Technology,Electronic Manufacturing Services,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,53,2008-02-06,2025-04-23,24.964717913865172,0.463768115942029
MPWR,Monolithic Power Systems Inc. Common Stock,$1363.42,-8.81,-0.642%,555253,66968463560.00,United States,2004,Semiconductors,Information Technology,/market-activity/stocks/mpwr,MPWR,66968463560.0,Technology,Semiconductors,Monolithic Power Systems,1280452,Monolithic Power Systems,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,34,2014-07-24,2025-05-01,24.927487652392262,0.4492753623188406
CIEN,Ciena Corporation Common Stock,$467.19,-12.71,-2.648%,3425941,66059931110.00,United States,1997,Communications Equipment,Information Technology,/market-activity/stocks/cien,CIEN,66059931110.0,Utilities,Telecommunications Equipment,Ciena,936395,Ciena,Information Technology,Communications Equipment,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,16,2006-03-02,2009-12-10,24.91382821406867,0.43478260869565216
FTNT,Fortinet Inc. Common Stock,$78.70,-0.04,-0.051%,5837965,58231985982.00,United States,2009,Systems Software,Information Technology,/market-activity/stocks/ftnt,FTNT,58231985982.0,Technology,Computer peripheral equipment,Fortinet,1262039,Fortinet,Information Technology,Systems Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,44,2014-04-26,2025-05-07,24.78770062803559,0.42028985507246375
TER,Teradyne Inc. Common Stock,$365.51,-4.62,-1.248%,2631415,57224036528.00,United States,,Semiconductor Materials & Equipment,Information Technology,/market-activity/stocks/ter,TER,57224036528.0,Industrials,Electrical Products,Teradyne,97210,Teradyne,Information Technology,Semiconductor Materials & Equipment,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,37,2007-07-19,2025-04-29,24.770239866085856,0.4057971014492754
KEYS,Keysight Technologies Inc. Common Stock,$330.46,-0.65,-0.196%,854530,56674714498.00,United States,2014,Electronic Equipment & Instruments,Information Technology,/market-activity/stocks/keys,KEYS,56674714498.0,Industrials,Industrial Machinery/Components,Keysight Technologies,1601046,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,41,2015-02-19,2025-02-25,24.76059399579754,0.391304347826087
NXPI,NXP Semiconductors N.V. Common Stock,$209.89,1.89,0.909%,2535370,53037701237.00,Netherlands,2010,Semiconductors,Information Technology,/market-activity/stocks/nxpi,NXPI,53037701237.0,Technology,Semiconductors,NXP Semiconductors,1413447,NXP Semiconductors,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,28,2014-04-24,2025-04-29,24.69426884170758,0.37681159420289856
ADSK,Autodesk Inc. Common Stock,$228.59,1.45,0.638%,1813734,48232490000.00,United States,,Application Software,Information Technology,/market-activity/stocks/adsk,ADSK,48232490000.0,Technology,Computer Software: Prepackaged Software,Autodesk,769397,Autodesk,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,44,2007-02-27,2025-02-27,24.599298697312296,0.36231884057971014
MCHP,Microchip Technology Incorporated Common Stock,$74.50,0.95,1.292%,7421263,40314591621.00,United States,1993,Semiconductors,Information Technology,/market-activity/stocks/mchp,MCHP,40314591621.0,Technology,Semiconductors,Microchip Technology,827054,Microchip Technology,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,12,2007-10-24,2025-05-08,24.419979315328508,0.34782608695652173
ROP,Roper Technologies Inc. Common Stock,$354.00,-2.35,-0.659%,999418,36239978634.00,United States,1992,Electronic Equipment & Instruments,Information Technology,/market-activity/stocks/rop,ROP,36239978634.0,Technology,Computer Software: Programming Data Processing,Roper Technologies,882835,Roper Technologies,Information Technology,Electronic Equipment & Instruments,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,38,2009-04-26,2024-07-24,24.31342872855148,0.3333333333333333
HPE,Hewlett Packard Enterprise Company Common Stock,$24.47,-0.34,-1.37%,13036439,32468119558.00,United States,2015,"Technology Hardware, Storage & Peripherals",Information Technology,/market-activity/stocks/hpe,HPE,32468119558.0,Technology,Retail: Computer Software & Peripheral Equipment,Hewlett Packard Enterprise,1645590,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,36,2016-03-04,2025-03-06,24.203524508171935,0.3188405797101449
JBL,Jabil Inc. Common Stock,$305.97,0.60,0.196%,959035,32280637253.00,United States,1993,Electronic Manufacturing Services,Information Technology,/market-activity/stocks/jbl,JBL,32280637253.0,Technology,Electrical Products,Jabil,898293,Jabil,Information Technology,Electronic Manufacturing Services,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,71,2005-12-23,2025-03-20,24.197733421572135,0.30434782608695654
WDAY,Workday Inc. Class A Common Stock,$117.86,-2.06,-1.718%,3905375,30290020000.00,United States,,Application Software,Information Technology,/market-activity/stocks/wday,WDAY,30290020000.0,Technology,EDP Services,"Workday, Inc.",1327811,"Workday, Inc.",Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,24,2019-05-28,2025-02-25,24.13408412226926,0.2898550724637681
TDY,Teledyne Technologies Incorporated Common Stock,$647.59,-8.40,-1.281%,288954,29986856350.00,United States,,Electronic Equipment & Instruments,Information Technology,/market-activity/stocks/tdy,TDY,29986856350.0,Industrials,Industrial Machinery/Components,Teledyne Technologies,1094285,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,43,2014-04-23,2025-04-24,24.12402500093856,0.2753623188405797
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$60.04,-0.49,-0.81%,8441153,28713945077.00,United States,1998,IT Consulting & Other Services,Information Technology,/market-activity/stocks/ctsh,CTSH,28713945077.0,Technology,EDP Services,Cognizant,1058290,Cognizant,Information Technology,IT Consulting & Other Services,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,55,2006-05-03,2025-04-30,24.08064873288976,0.2608695652173913
ON,ON Semiconductor Corporation Common Stock,$72.05,1.03,1.45%,7251718,28339233262.00,United States,,Semiconductors,Information Technology,/market-activity/stocks/on,ON,28339233262.0,Technology,Semiconductors,ON Semiconductor,1097864,ON Semiconductor,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,39,2014-04-17,2025-05-05,24.067513015867654,0.2463768115942029
VRSN,VeriSign Inc. Common Stock,$268.34,-3.10,-1.142%,1007631,24449988548.00,United States,1998,Internet Services & Infrastructure,Information Technology,/market-activity/stocks/vrsn,VRSN,24449988548.0,Technology,EDP Services,Verisign,1014473,Verisign,Information Technology,Internet Services & Infrastructure,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,48,2007-07-27,2025-04-24,23.919895584482724,0.2318840579710145
FICO,Fair Isaac Corporation Common Stock,$1007.28,6.37,0.636%,419546,23894831136.00,United States,,Application Software,Information Technology,/market-activity/stocks/fico,FICO,23894831136.0,Real Estate,Real Estate,Fair Isaac,814547,Fair Isaac,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,43,2014-01-23,2025-04-29,23.896928002033796,0.21739130434782608
FSLR,First Solar Inc. Common Stock,$200.61,0.26,0.13%,2485778,21555696964.00,United States,2006,Semiconductors,Information Technology,/market-activity/stocks/fslr,FSLR,21555696964.0,Technology,Semiconductors,First Solar,1274494,First Solar,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,14,2009-04-29,2019-08-01,23.793905978837568,0.2028985507246377
NTAP,NetApp Inc. Common Stock,$98.89,0.49,0.498%,2098868,19514003256.00,United States,1995,"Technology Hardware, Storage & Peripherals",Information Technology,/market-activity/stocks/ntap,NTAP,19514003256.0,Technology,Electronic Components,NetApp,1002047,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,71,2006-02-18,2025-02-27,23.69439816048672,0.18840579710144928
